"filename", "language", "AL", "Markdown", "HTTP", "Batch", "JSON", "alapp", "XML", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\ProductionControlling.Page.al", "AL", 440, 0, 0, 0, 0, 0, 0, 24, 63, 527
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\PurchLines.Page.al", "AL", 129, 0, 0, 0, 0, 0, 0, 6, 5, 140
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\SalesBackordersInterCompany.Page.al", "AL", 107, 0, 0, 0, 0, 0, 0, 0, 13, 120
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\SalesCommission.Page.al", "AL", 431, 0, 0, 0, 0, 0, 0, 31, 46, 508
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\SalesLine.Page.al", "AL", 289, 0, 0, 0, 0, 0, 0, 14, 13, 316
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\SalesLine1.Page.al", "AL", 116, 0, 0, 0, 0, 0, 0, 13, 25, 154
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\SalesLineSubform.Page.al", "AL", 218, 0, 0, 0, 0, 0, 0, 10, 9, 237
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\SalespricelistDetails.Page.al", "AL", 221, 0, 0, 0, 0, 0, 0, 46, 20, 287
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\SalespricelistDetailsSubPage.Page.al", "AL", 303, 0, 0, 0, 0, 0, 0, 45, 63, 411
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\ScanpanAPISetup.Page.al", "AL", 55, 0, 0, 0, 0, 0, 0, 6, 12, 73
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\ScanpanSetup.Page.al", "AL", 8, 0, 0, 0, 0, 0, 0, 18, 6, 32
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\SearchAndReplace.Page.al", "AL", 62, 0, 0, 0, 0, 0, 0, 4, 15, 81
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\ShipAgentDistribution.Page.al", "AL", 68, 0, 0, 0, 0, 0, 0, 3, 5, 76
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\ShipITdebug.Page.al", "AL", 0, 0, 0, 0, 0, 0, 0, 152, 0, 152
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\TestPage.Page.al", "AL", 24, 0, 0, 0, 0, 0, 0, 6, 14, 44
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\WMSPickBinBalance.Page.al", "AL", 80, 0, 0, 0, 0, 0, 0, 10, 10, 100
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\WebServiceOrderFormCustomer.Page.al", "AL", 45, 0, 0, 0, 0, 0, 0, 20, 3, 68
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\WebServiceOrderFormItems.Page.al", "AL", 187, 0, 0, 0, 0, 0, 0, 45, 10, 242
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\WebServiceSalesOrderLinesList.Page.al", "AL", 272, 0, 0, 0, 0, 0, 0, 29, 21, 322
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\page\WebServiceSalesPriceListSource.Page.al", "AL", 186, 0, 0, 0, 0, 0, 0, 9, 14, 209
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\query\AddressesCustomer.Query.al", "AL", 115, 0, 0, 0, 0, 0, 0, 6, 7, 128
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\query\AddressesVendor.Query.al", "AL", 21, 0, 0, 0, 0, 0, 0, 6, 6, 33
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\query\ProdRoutingLinesList.Query.al", "AL", 87, 0, 0, 0, 0, 0, 0, 7, 8, 102
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\query\QuerySalesCreditNote.Query.al", "AL", 80, 0, 0, 0, 0, 0, 0, 6, 4, 90
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\query\QuerySalesInvoice.Query.al", "AL", 84, 0, 0, 0, 0, 0, 0, 6, 4, 94
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\query\SalesOrderFormPriceList.Query.al", "AL", 48, 0, 0, 0, 0, 0, 0, 14, 11, 73
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report ext\DetailedCalculationExt.ReportExt.al", "AL", 20, 0, 0, 0, 0, 0, 0, 22, 11, 53
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\Adresselabel.Report.al", "AL", 463, 0, 0, 0, 0, 0, 0, 7, 62, 532
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\CalculateInventory.Report.al", "AL", 849, 0, 0, 0, 0, 0, 0, 1, 118, 968
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\CalculatePlanReqWksh.Report.al", "AL", 296, 0, 0, 0, 0, 0, 0, 4, 52, 352
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\CustomsDeclaration.Report.al", "AL", 349, 0, 0, 0, 0, 0, 0, 17, 49, 415
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\DebitorAddress.Report.al", "AL", 102, 0, 0, 0, 0, 0, 0, 5, 16, 123
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\EmployeeSales.Report.al", "AL", 102, 0, 0, 0, 0, 0, 0, 2, 14, 118
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\FakturaVarekoder.Report.al", "AL", 295, 0, 0, 0, 0, 0, 0, 25, 46, 366
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\ForNAV50014.Report.al", "AL", 158, 0, 0, 0, 0, 0, 0, 3, 28, 189
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_DRIFT\src\report\Hyldelabel.Report.al", "AL", 92, 0, 0, 0, 0, 0, 0, 5, 11, 108
